year,d14c,sig_d14c
-5279,102,1.81
-5278,101.4,1.67
-5277,97.9,1.71
-5276,98.36,2.44
-5275,99.54,1.76
-5274,99.32,1.71
-5273,96.05,2.43
-5272,99.34,1.35
-5271,97.76,1.62
-5270,95.07,1.44
-5269,95.06,1.39
-5268,96.55,1.74
-5267,93.24,2.42
-5266,95.16,1.61
-5265,94.26,1.7
-5264,94.69,1.79
-5263,92.12,1.69
-5262,91.83,1.61
-5261,92.17,1.67
-5260,92.07,2.63
-5259,109.78,1.73
-5258,115.36,1.66
-5257,109.45,1.64
-5256,108.67,1.53
-5255,106.26,2.2
-5254,108.56,1.54
-5253,105.33,1.6
-5252,103.47,2.21
-5251,101.13,2.48
-5250,98,1.63
-5249,102.27,1.65
-5248,98.7,2.19
-5247,97.46,1.71
-5246,97.63,1.67
-5245,96.05,1.53
-5244,97.13,1.71
-5243,97.27,1.59
-5242,97.96,1.62
-5241,95.23,1.52
-5240,96.19,1.63
-5239,91.76,2.43
-5238,92.67,1.69
-5237,93.7,1.51
-5235,92.14,1.61
-5234,93.29,2.29
-5233,94.63,2.38
-5232,91.19,2.29
-5231,91.3,1.49
-5230,90.91,1.6
