year,d14c,sig_d14c,growth_season
760,-16.3,3.9,april-september
761,-13.6,3.7,
762,-21.4,3.5,
763,-14.1,3.5,
764,-16.0,3.5,
765,-16.5,3.5,
766,-16.7,3.5,
767,-17.6,3.5,
768,-15.1,4.6,
769,-16.2,4.8,
770,-18.1,3.5,
771,-15.2,4.0,
772,-17.2,3.5,
773,-18.3,3.5,
774,-11.6,3.5,
775,-2.4,4.9,
776,2.2,3.6,
777,1.6,3.5,
778,0.4,3.8,
779,0.0,3.6,
780,-6.1,3.0,
781,-7.0,2.7,
782,-3.5,3.1,
783,-8.8,3.5,
784,-3.3,2.9,
785,-6.4,4.4,
786,-5.8,2.8,
787,-10.4,2.8,
788,-12.3,3.6,
789,-14.1,3.9,
790,-10.6,2.8,
791,-13.0,2.7,
792,-16.6,2.9,
793,-8.7,3.9,
794,-6.9,3.1,
795,-11.2,3.6,
796,-13.2,2.9,
797,-11.6,2.8,
798,-13.7,2.8,
799,-11.0,3.1,
800,-11.2,2.8,
