year,d14c,sig_d14c
973,-22.45390444,1.320577925
974,-20.06183182,1.327553124
975,-19.20381426,1.008531011
976,-18.00867907,1.392432692
977,-20.43719266,1.389531712
978,-20.00526388,1.003706983
979,-17.23211643,1.411849899
980,-18.30786514,1.391317645
981,-18.11057694,1.003339038
982,-17.87074195,1.396966495
983,-20.18712375,1.391402024
984,-19.89080246,1.015115426
985,-22.13390069,1.428955821
986,-22.98204046,1.445382944
987,-20.26651885,1.008820978
988,-20.66840865,1.415381944
989,-20.87517673,1.413363883
990,-20.45360608,0.794676719
991,-20.59536777,1.044540326
992,-20.67309282,0.936358116
993,-17.03263293,0.821378725
994,-13.29885945,0.942402949
995,-12.74908785,1.037494878
996,-12.30646437,0.881802138
997,-11.98779443,1.037654116
998,-11.17372677,1.032859979
999,-13.73502692,0.885368353
1000,-14.67683478,1.038893899
1001,-11.03178499,1.727321155
1002,-14.40273933,1.17911177
1003,-14.19513086,1.730228794
1004,-16.18880933,1.759171203
1005,-18.04150364,1.180765889
1006,-18.35512499,1.751726706
1007,-20.94580537,1.773646602
1008,-17.20193899,1.203624989
1009,-18.2026909,1.773616012
1010,-16.59106259,1.670660235
1011,-17.21498138,1.152185865
1012,-16.86099516,1.661684038
1013,-16.40922527,1.661951589
1014,-16.11823656,1.150875505
1015,-18.59616727,1.672749602
1016,-18.79266791,1.682012557
1017,-17.64056842,1.153786392
1018,-16.837631,1.650066373
1019,-16.74108135,1.660630411
1020,-17.60938414,1.141335466
1021,-16.07919422,1.660456894
1022,-18.19207998,1.663275329
1023,-14.57243205,1.155698671
