year,d14c,sig_d14c
760.0,-19.764659090909092,3.9
761.0,-17.06465909090909,3.7
762.0,-24.86465909090909,3.5
763.0,-17.56465909090909,3.5
764.0,-19.46465909090909,3.5
765.0,-19.96465909090909,3.5
766.0,-20.16465909090909,3.5
767.0,-21.064659090909092,3.5
768.0,-18.56465909090909,4.6
769.0,-19.66465909090909,4.8
770.0,-20.625016233766235,0.4969464455101932
771.0,-19.170454545454547,0.499405322474343
772.0,-20.390909090909094,0.4782025574486331
773.0,-19.67430194805195,0.4864839839775475
774.0,-12.504545454545458,0.4710854355669529
775.0,-5.504545454545454,0.5194959413295269
776.0,-3.5408181818181816,0.48119166043297956
777.0,-3.7905909090909127,0.491425002979823
778.0,-5.4770909090909115,0.49199177496400426
779.0,-6.0915454545454555,0.4882262664715278
780.0,-8.2350538277512,0.5215855885710285
781.0,-10.464659090909091,2.7
782.0,-6.964659090909091,3.1
783.0,-12.264659090909092,3.5
784.0,-6.764659090909092,2.9
785.0,-9.864659090909091,4.4
786.0,-9.264659090909092,2.8
787.0,-13.864659090909091,2.8
788.0,-15.764659090909092,3.6
789.0,-17.56465909090909,3.9
790.0,-14.06465909090909,2.8
791.0,-16.46465909090909,2.7
792.0,-20.064659090909092,2.9
793.0,-12.16465909090909,3.9
794.0,-10.364659090909091,3.1
795.0,-14.66465909090909,3.6
796.0,-16.66465909090909,2.9
797.0,-15.06465909090909,2.8
798.0,-17.16465909090909,2.8
799.0,-14.464659090909091,3.1
800.0,-14.66465909090909,2.8
